Company,Website,Location,Rating,Review Count,Hourly Rate,Min Project Size,Employee Size,Qoutation,Tagline
Algoworks,http://www.algoworks.com/?utm_source=clutch.co&utm_medium=referral,"Sunnyvale, CA",4.9,67 reviews,$25 - $49 / hr,"$5,000+",250 - 999,"“They’re always hands-on, and their resources are go-getters.”",Go Mobile. Go Cloud. Go Digital.
Hyperlink InfoSystem,https://www.hyperlinkinfosystem.com/,"Ahmedabad, India",4.8,95 reviews,< $25 / hr,"$10,000+",250 - 999,"""I’ve come to really trust their suggestions.""",Best Android & iPhone App Development Services
Emizen Tech,https://www.emizentech.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Jaipur, India",4.9,68 reviews,< $25 / hr,"$5,000+",50 - 249,"“Emizen Tech is really assertive, proactively reaching out to let me know what’s going on, which is very helpful.”","Your Ideas, Our Innovations!"
The NineHertz,https://theninehertz.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Cincinnati, OH",4.8,78 reviews,< $25 / hr,"$5,000+",50 - 249,“Their ability to understand and meet our requirements has been truly impressive.”,Mobile App and Web Development Company
Blue Label Labs,https://goo.gl/ra5nnC,"New York, NY",4.8,46 reviews,$100 - $149 / hr,"$75,000+",50 - 249,"“Blue Label was flexible, easy to communicate with, and exceptionally friendly.”","Strategy, design & development of digital products"
Sidebench,https://sidebench.com/?utm_source=Clutch.co&utm_medium=list&utm_campaign=app_developers,"Santa Monica, CA",4.9,38 reviews,$150 - $199 / hr,"$50,000+",50 - 249,"""They make things happen because they know what their employees can bring to the table.""","Top Product, Technology, & Venture Design Firm"
techahead,https://www.techaheadcorp.com/?utm_source=clutch&utm_medium=referral&utm_campaign=main-app-dev,"Agoura Hills, CA",4.8,65 reviews,$25 - $49 / hr,"$25,000+",50 - 249,"""They are strong app developers who know how to get the job done.""","Mobile, Web, IoT, and UX/UI"
Appinventiv,https://appinventiv.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=TopMobileAppDevelopmentCompanies,"Manhattan, NY",4.7,72 reviews,$25 - $49 / hr,"$50,000+",250 - 999,“Appinventiv was technically strong.”,Over 3000+ Successful Products Delivered Globally.
CodigoDelSur,http://codigodelsur.com/?utm_source=clutch&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Montevideo, Uruguay",4.8,35 reviews,$150 - $199 / hr,"$100,000+",50 - 249,"""Their ability to work with little initial documentation is commendable.""",Rockstar coders for rockstar companies
KitelyTech,https://kitelytech.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Chicago, IL",4.9,21 reviews,Undisclosed,"$25,000+",50 - 249,"""Their team communicated well, understood what we wanted, and listened attentively.""","Mobile, Web, Software & SEO Experts"
